1	3,29,30,29,26,30,30,23,4,36,36,36,36,36,36,26,3,36,26,0,0,0,0,0,6,36,26,0,0,0,0,0,5,36,24,0,0,0,0,0,6,36,29,14,18,10,1,0,6,36,36,36,36,36,30,6,3,30,35,18,8,22,36,28,0,0,3,0,0,0,28,30,0,0,0,0,0,0,20,30,0,0,0,0,0,0,21,30,10,28,14,0,0,0,24,30,10,36,25,0,0,2,33,30,1,30,36,26,18,30,36,23,0,3,28,36,36,36,23,1,0,0,0,4,6,4,0,0
2	0,0,10,17,16,8,0,0,1,27,36,36,36,36,21,0,14,36,30,6,5,26,36,13,25,36,10,0,0,4,36,27,30,36,1,0,0,2,36,30,30,36,5,0,0,3,36,30,30,36,4,0,0,6,36,30,30,36,4,0,0,6,36,30,30,36,3,0,0,6,36,29,34,36,6,0,0,6,36,29,36,36,6,0,0,7,36,24,36,36,0,0,0,12,36,25,29,36,8,0,0,20,36,22,13,36,32,16,20,36,36,9,0,18,35,36,36,36,15,0,0,0,3,10,10,4,0,0
3	24,16,4,13,15,2,0,0,0,23,36,36,36,35,15,0,15,36,30,14,13,33,35,6,28,36,9,0,0,10,36,20,30,36,0,0,0,7,36,24,32,36,0,0,0,8,36,24,36,36,0,0,0,11,36,27,36,36,0,0,0,12,36,24,36,36,0,0,0,12,36,24,36,34,0,0,0,12,36,24,36,36,0,0,0,12,36,21,36,30,0,0,0,13,36,22,34,36,3,0,0,21,36,18,19,36,27,12,19,36,35,5,1,26,36,36,36,35,15,0,0,0,9,12,12,4,0,0
4	0,0,1,10,13,9,0,0,0,6,32,36,36,36,29,3,1,32,34,13,6,17,36,23,9,36,16,0,0,0,24,30,12,36,13,0,0,0,18,30,12,36,18,0,0,0,18,30,12,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,7,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,0,32,31,1,0,4,31,29,0,10,35,34,29,33,24,10,0,0,6,21,24,20,4,0,0,0,0,0,0,0,1,0
5	0,0,2,11,13,4,0,0,0,10,34,36,36,36,20,0,4,35,31,12,8,26,36,13,15,36,10,0,0,1,33,27,18,36,3,0,0,0,30,30,18,36,5,0,0,0,30,30,18,36,3,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,11,36,17,0,0,6,35,24,0,26,36,28,24,34,35,7,0,3,19,34,35,26,8,0,0,0,0,0,0,0,0,0
6	11,23,21,18,19,20,24,2,18,36,36,36,36,36,36,5,18,36,6,0,0,0,0,0,18,36,6,0,0,0,0,0,18,36,5,0,0,0,0,0,18,36,14,15,14,4,0,0,18,36,36,36,36,35,12,0,13,32,23,7,10,32,35,2,0,0,0,0,0,13,36,11,0,0,0,0,0,6,36,14,0,0,0,0,0,6,36,13,24,29,0,0,0,8,36,12,25,36,8,0,0,23,36,4,8,35,35,26,29,36,20,0,0,8,27,35,30,16,0,0,0,0,0,0,0,0,0,0
7	0,0,0,0,1,17,3,0,0,0,0,0,22,36,19,0,0,0,0,16,36,25,0,0,0,0,6,35,32,2,0,0,0,0,24,36,10,0,0,0,0,5,36,27,0,0,0,0,0,19,36,10,0,0,0,0,0,30,36,33,36,29,10,0,2,36,36,32,25,34,36,12,8,36,28,1,0,6,35,28,12,36,14,0,0,0,25,30,12,36,12,0,0,0,24,30,10,36,18,0,0,0,30,30,1,32,35,14,7,23,36,23,0,10,34,36,36,36,29,3,0,0,4,12,12,10,1,0
8	0,13,30,28,2,15,4,0,0,0,0,0,22,36,23,0,0,0,0,16,36,28,1,0,0,0,4,34,32,3,0,0,0,0,24,36,10,0,0,0,0,5,36,27,0,0,0,0,0,19,36,10,0,0,0,0,0,30,36,35,36,28,8,0,3,36,36,31,26,35,35,8,11,36,26,1,0,8,36,27,15,36,10,0,0,0,27,30,18,36,7,0,0,0,26,30,12,36,17,0,0,2,29,30,2,32,35,21,14,28,36,15,0,6,31,36,36,36,24,1,0,0,0,9,12,7,0,0
9	0,0,0,0,15,32,12,0,0,0,0,8,35,35,10,0,0,0,2,32,36,11,0,0,0,0,22,36,19,0,0,0,0,6,36,32,1,0,0,0,0,21,36,14,0,0,0,0,0,33,36,13,12,6,0,0,6,36,36,36,36,36,18,0,14,36,33,15,13,30,36,12,18,36,13,0,0,6,36,26,23,36,6,0,0,0,30,30,21,36,7,0,0,0,32,30,13,36,24,1,0,15,36,22,1,29,36,33,30,36,35,5,0,3,21,33,35,25,6,0,0,0,0,0,0,0,0,0
10	0,0,0,0,0,0,0,0,0,0,0,0,10,35,21,0,0,0,0,6,34,36,15,0,0,0,1,32,36,17,0,0,0,0,21,36,25,0,0,0,0,6,36,34,3,0,0,0,0,20,36,18,0,0,0,0,0,33,36,24,18,15,1,0,5,36,36,36,36,36,31,6,13,36,33,10,5,18,36,27,18,36,17,0,0,0,28,30,18,36,12,0,0,0,20,30,15,36,18,0,0,0,26,30,4,35,33,8,0,13,36,30,0,13,35,36,36,36,36,14,0,0,5,12,12,12,7,0
