1       18,56,56,56,56,47,21,64,33,32,32,25,24,64,5,0,0,0,24,64,5,0,0,0,24,64,51,54,39,5,17,62,46,30,58,49,0,3,0,0,20,56,0,0,0,0,9,56,18,33,0,0,13,56,27,62,10,0,37,56,3,49,62,58,63,27,0,1,20,24,10,0
2       0,20,38,36,16,0,25,64,47,45,64,22,51,50,0,0,43,51,56,40,0,0,40,56,58,40,0,0,40,56,56,39,0,0,40,55,56,32,0,0,40,51,59,32,0,0,40,50,64,32,0,0,46,48,50,46,1,4,58,42,15,61,54,58,61,13,0,9,28,27,9,0
3       36,22,33,33,8,0,21,64,54,53,61,12,54,50,0,1,51,42,56,33,0,0,43,48,63,35,0,0,45,51,64,32,0,0,48,53,64,32,0,0,48,48,64,28,0,0,48,45,64,24,0,0,48,42,57,38,0,6,60,38,24,64,50,57,60,8,0,18,32,31,8,0
4       0,4,27,34,20,0,4,54,53,41,61,31,26,56,3,0,22,56,32,51,0,0,8,56,32,56,0,0,8,56,26,56,0,0,8,56,25,56,0,0,8,56,24,56,0,0,8,56,24,56,0,0,8,56,8,63,21,7,39,52,0,20,57,64,37,7,0,0,0,0,0,0
5       0,6,29,31,12,0,8,58,52,45,63,19,35,49,0,0,35,49,40,37,0,0,24,56,40,39,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,40,40,0,0,24,56,26,56,7,2,45,45,0,39,64,63,55,9,0,0,11,13,1,0
6       29,46,41,44,46,17,40,53,32,32,32,11,40,40,0,0,0,0,40,40,0,0,0,0,40,56,53,49,22,0,32,57,28,34,63,13,0,0,0,0,45,31,0,0,0,0,40,34,33,17,0,0,42,32,46,47,5,12,60,18,10,56,64,64,34,0,0,0,13,6,0,0
7       0,0,0,15,33,1,0,0,9,59,39,0,0,1,50,51,1,0,0,20,63,11,0,0,0,48,41,0,0,0,5,64,50,48,29,1,20,64,49,35,61,35,30,57,1,0,24,56,32,48,0,0,14,56,27,58,3,0,29,55,4,58,54,44,63,31,0,7,31,32,21,0
8       0,40,44,14,32,1,0,0,8,60,43,1,0,0,48,51,3,0,0,20,63,11,0,0,0,49,40,0,0,0,7,64,55,47,25,0,21,64,47,36,62,32,32,54,1,0,27,56,40,41,0,0,17,56,30,57,4,0,31,55,4,54,60,53,64,20,0,2,27,32,16,0
9       0,0,0,42,48,0,0,0,28,63,21,0,0,10,62,32,0,0,0,44,55,1,0,0,5,63,24,0,0,0,22,64,64,63,44,3,36,62,24,20,58,37,43,42,0,0,30,56,45,41,0,0,26,56,29,61,17,11,55,45,2,45,64,64,52,8,0,0,10,13,1,0
10       0,0,0,3,9,0,0,0,1,49,60,6,0,0,39,63,15,0,0,17,64,28,0,0,0,50,52,1,0,0,9,64,45,26,10,0,25,64,61,55,63,25,37,60,6,0,35,56,40,48,0,0,12,56,34,58,1,0,21,56,8,60,48,34,58,50,0,8,32,32,31,4
