1       47,7,6,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,8,10,13,37,37,38,38,38,38,38,39,39,39,39,39,39,38,39,39,39,38,8,4,3,3,4,4,4,4,4,5,5,5,6,6,7,8,9,10,11,12,13,15,16,20,47,47,2,0,0,0,0,0,0,0,0,0,2,30,31,31,31,31,30,30,30,31,31,30,30,30,31,31,30,30,30,30,31,31,17,12,10,8,7,5,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,5,6,8,9,12,14,47,92,92,92,69,68,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,92,92,92,21,16,13,11,10,9,8,7,6,5,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,5,5,6,7,8,9,10,12
2       47,47,47,18,14,11,10,9,8,6,5,5,4,4,4,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,3,3,4,5,6,7,8,9,10,11,13,15,20,47,47,47,19,14,12,10,8,7,6,5,4,4,3,3,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,4,4,5,6,7,8,9,10,12,14,20,38,20,17,15,12,10,9,9,8,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,5,6,6,7,7,8,9,10,11,13,15,17,20,20,17,13,11,10,9,8,7,6,5,4,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,3,3,4,5,6,7,8,9,11,14,16,34
3       0,0,0,0,3,14,12,10,8,7,6,6,5,4,4,3,2,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,4,5,6,7,8,9,10,13,14,35,36,37,20,17,15,12,10,9,8,7,6,5,5,4,3,3,3,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,4,5,5,6,7,8,8,9,10,12,15,16,0,0,0,0,0,0,0,0,0,0,0,0,6,6,5,5,5,4,4,4,4,4,3,3,3,3,3,4,4,4,5,5,6,6,6,7,7,8,9,10,11,12,14,15,18,21,23,16,15,12,10,8,7,6,5,4,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,4,5,7,8,9,11,12,14,23,47
4       47,47,47,27,20,17,15,13,12,11,10,9,8,7,7,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,7,7,8,8,9,10,11,12,13,14,16,18,21,47,47,47,47,47,47,47,18,13,11,9,7,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,11,10,9,10,12,15,47,47,47,47,92,92,92,92,21,17,15,13,12,11,10,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,4,4,4,4,4,5,5,6,6,7,7,8,9,10,11,13,14,16,92,92,92,92,43,20,17,15,13,12,11,10,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,10,10,10,10,10,11,12,13,15
5       47,47,47,25,19,16,14,12,11,10,9,8,7,6,6,5,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,6,7,8,9,9,10,11,13,14,15,17,20,47,47,47,47,47,21,17,13,11,9,8,7,6,5,4,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,3,4,4,5,6,7,8,10,12,14,18,47,47,92,92,92,20,17,15,13,12,11,10,9,8,7,7,6,6,5,5,5,4,4,4,4,4,4,3,4,4,4,4,5,5,5,5,6,6,7,7,8,9,10,11,12,13,15,18,21,92,92,92,19,16,14,13,12,11,9,8,7,7,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,5,5,6,6,7,8,9,10,12,13,15,19
6       47,38,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,6,10,33,34,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,7,3,2,1,1,1,1,1,2,2,2,3,3,4,4,5,6,7,8,9,11,12,16,19,47,47,47,8,5,4,4,4,4,4,4,4,4,5,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,21,16,13,12,11,9,8,8,7,6,5,5,5,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,8,9,10,11,12,14,15,18,22,47,47,92,69,43,3,2,2,2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,3,3,3,2,2,2,3,3,3,2,2,1,2,2,2,3,49,58,92,92,92,18,15,13,11,10,9,8,7,6,6,5,4,4,4,4,3,3,3,2,2,2,2,2,2,3,3,3,3,4,4,4,5,6,6,7,8,9,10,11,12,14,16,20,31,92,92
7       47,47,32,31,30,29,28,27,26,26,25,24,23,22,21,21,20,19,19,18,17,17,16,15,15,15,14,14,13,13,12,12,11,11,11,10,10,9,9,9,8,8,8,7,7,7,7,7,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,8,8,9,10,11,12,14,15,17,47,47,13,12,10,8,7,6,7,8,9,10,11,11,12,13,14,15,15,16,17,18,18,19,20,20,21,21,22,23,23,24,24,25,25,26,26,27,27,27,28,29,15,13,10,9,7,6,5,4,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,6,7,9,10,13,92,92,92,92,58,52,48,43,40,37,35,32,30,28,26,23,22,20,19,17,16,14,13,12,11,10,8,7,6,5,4,3,2,2,3,4,4,5,5,6,7,48,49,50,52,54,56,92,92,92,92,16,13,11,9,7,6,5,4,3,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,3,4,5,6,7,9,10,13
8       8,8,9,10,11,12,14,27,26,25,25,24,23,22,22,21,20,20,19,18,18,17,16,16,15,15,14,14,13,13,12,12,12,11,10,10,9,9,9,9,8,8,8,7,7,7,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,7,7,8,9,10,11,12,14,16,18,19,21,22,23,11,10,8,7,6,6,7,8,9,10,11,12,13,13,14,15,16,17,18,18,19,19,20,21,22,22,23,23,24,24,25,25,26,26,27,27,28,28,27,16,14,11,10,8,7,6,5,4,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,3,4,5,6,7,8,11,12,13,92,92,92,64,56,51,46,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,7,6,5,4,3,3,3,3,4,5,5,6,7,49,50,51,53,54,55,92,92,92,19,15,12,11,9,8,7,6,5,4,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,4,5,6,7,8,12,12,13
9       30,29,28,27,26,25,25,24,23,22,22,21,20,19,19,18,17,17,16,15,15,14,13,13,12,12,11,11,10,10,9,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,6,7,7,8,9,10,12,13,15,17,21,47,47,13,12,10,8,7,7,7,8,9,10,11,12,13,14,15,16,16,17,18,19,19,20,21,22,22,23,23,24,24,25,25,26,27,27,27,28,29,29,29,28,16,12,11,9,8,7,6,5,4,4,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,5,6,8,9,10,13,14,18,47,47,92,92,61,52,47,43,39,36,33,30,28,26,24,22,21,19,18,16,15,13,12,11,9,8,7,5,4,3,2,1,0,0,0,0,1,2,2,3,3,4,46,47,48,50,52,54,55,92,92,23,19,15,13,12,10,9,8,7,7,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,4,5,5,5,6,7,8,8,9,11,12,14,16,17
10       47,47,47,47,47,47,31,30,29,28,27,26,25,24,24,23,22,21,20,19,19,18,17,17,16,15,15,14,14,13,12,12,11,11,10,10,10,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,5,6,6,7,8,9,9,10,12,13,15,16,47,47,47,47,47,47,11,10,8,6,5,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,18,19,20,21,21,22,22,23,24,24,25,25,26,26,27,27,27,27,18,14,11,10,8,7,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,6,7,8,92,92,92,59,54,49,45,42,39,37,34,32,30,29,27,25,24,22,21,19,18,17,16,15,13,12,11,10,9,8,7,6,6,6,6,6,7,8,8,9,9,10,51,52,53,55,56,92,92,92,17,13,11,9,8,7,5,4,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,4,5,6,7
