1       3,29,30,30,30,30,30,23,4,36,36,36,36,36,36,27,5,36,26,0,0,0,0,0,6,36,28,0,0,0,0,0,6,36,28,0,0,0,0,0,6,36,30,14,18,11,1,0,6,36,36,36,36,36,31,6,3,30,35,19,9,23,36,28,0,0,3,0,0,0,28,30,0,0,0,0,0,0,20,30,0,0,0,0,0,0,19,30,10,28,13,0,0,0,23,30,10,36,25,0,0,2,33,30,1,30,36,25,18,30,36,23,0,3,28,36,36,35,22,1,0,0,0,4,6,3,0,0
2       0,1,10,18,16,8,0,0,2,27,36,36,36,36,25,1,16,36,30,8,8,26,36,15,28,36,11,0,0,6,36,28,30,36,6,0,0,6,36,30,30,36,6,0,0,6,36,30,32,36,6,0,0,6,36,30,30,36,5,0,0,6,36,29,30,36,0,0,0,6,36,25,30,36,0,0,0,6,36,28,35,36,0,0,0,6,36,24,36,36,0,0,0,12,36,24,27,36,7,0,0,18,36,22,13,36,32,14,19,35,36,8,0,15,35,36,36,35,15,0,0,0,3,10,9,3,0,0
3       27,19,5,14,15,2,0,0,0,23,36,36,36,35,15,0,16,36,32,14,13,33,36,7,30,36,10,0,0,11,36,22,30,36,1,0,0,7,36,24,33,36,2,0,0,9,36,24,36,36,1,0,0,12,36,29,36,36,0,0,0,12,36,27,36,36,0,0,0,12,36,24,36,33,0,0,0,12,36,24,36,33,0,0,0,12,36,19,36,30,0,0,0,12,36,20,33,35,2,0,0,21,36,18,18,36,27,12,18,36,35,5,1,26,36,36,36,35,13,0,0,0,9,12,12,3,0,0
4       0,0,1,10,14,10,0,0,0,6,32,36,36,36,29,3,1,32,35,13,6,17,36,23,9,36,16,0,0,0,25,30,12,36,13,0,0,0,18,30,12,36,18,0,0,0,18,30,12,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,7,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,6,36,18,0,0,0,18,30,0,32,31,1,0,4,31,29,0,10,35,33,29,33,24,10,0,0,6,21,24,19,3,0,0,0,0,0,0,0,0,0
5       0,0,2,11,13,4,0,0,0,10,34,36,36,36,20,0,4,35,31,12,8,26,36,14,16,36,10,0,0,1,33,27,18,36,3,0,0,0,30,30,18,36,5,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,11,36,17,0,0,6,35,24,0,23,36,26,23,34,35,7,0,1,19,34,35,26,8,0,0,0,0,0,0,0,0,0
6       11,23,21,19,20,21,25,3,18,36,36,36,36,36,36,5,18,36,7,0,0,0,0,0,18,36,6,0,0,0,0,0,18,36,6,0,0,0,0,0,18,36,14,17,14,5,0,0,18,36,36,36,36,35,12,0,12,32,24,7,10,32,35,2,0,0,0,0,0,11,36,11,0,0,0,0,0,6,36,13,0,0,0,0,0,6,36,13,22,28,0,0,0,8,36,12,25,36,7,0,0,23,36,4,8,35,35,26,29,36,20,0,0,8,26,35,30,16,0,0,0,0,0,0,0,0,0,0
7       0,0,0,0,1,18,4,0,0,0,0,0,24,36,19,0,0,0,0,18,36,26,0,0,0,0,7,35,32,3,0,0,0,0,24,36,11,0,0,0,0,5,36,27,0,0,0,0,0,19,36,10,0,0,0,0,0,29,36,33,36,30,12,0,2,36,36,32,25,34,36,11,8,36,28,1,0,6,34,28,12,36,14,0,0,0,25,30,12,36,12,0,0,0,22,30,10,36,18,0,0,0,30,30,1,32,35,14,7,23,36,22,0,10,34,36,36,36,29,3,0,0,4,12,12,10,1,0
8       0,14,36,30,3,15,4,0,0,0,4,0,24,36,23,0,0,0,0,16,36,28,1,0,0,0,5,35,32,3,0,0,0,0,24,36,11,0,0,0,0,5,36,27,0,0,0,0,0,20,36,11,0,0,0,0,0,31,36,36,36,28,8,0,3,36,36,30,25,35,35,8,10,36,27,1,0,7,36,29,14,36,10,0,0,0,26,30,18,36,7,0,0,0,25,30,12,36,17,0,0,1,29,30,2,32,35,21,14,28,36,15,0,6,30,36,36,36,24,1,0,0,0,11,12,9,0,0
9       0,0,0,0,15,33,12,0,0,0,0,8,35,35,10,0,0,0,2,32,36,11,0,0,0,0,22,36,19,0,0,0,0,6,36,32,1,0,0,0,0,21,36,14,0,0,0,0,0,33,36,13,12,6,0,0,6,36,36,36,36,36,20,0,14,36,33,15,13,30,36,12,18,36,12,0,0,5,36,29,23,36,6,0,0,0,30,30,21,36,7,0,0,0,32,30,12,36,24,1,0,16,36,25,1,29,36,33,30,36,35,5,0,2,21,33,35,25,6,0,0,0,0,0,0,0,0,0
10       0,0,0,0,0,0,0,0,0,0,0,0,10,35,21,0,0,0,0,6,35,36,15,0,0,0,2,32,36,17,0,0,0,0,21,36,25,0,0,0,0,6,36,34,4,0,0,0,0,20,36,18,0,0,0,0,0,33,36,25,20,15,1,0,5,36,36,36,36,36,31,6,13,36,33,10,4,18,36,27,18,36,16,0,0,0,28,30,18,36,12,0,0,0,20,30,15,36,18,0,0,0,26,30,4,35,33,8,0,12,35,30,0,12,35,36,36,36,35,15,0,0,5,12,12,12,7,0
11       0,1,19,35,36,23,5,0,0,26,36,36,36,36,32,3,13,36,27,2,1,21,36,25,21,36,8,0,0,1,35,30,24,36,6,0,0,0,30,30,24,36,6,0,0,0,31,30,24,36,6,0,0,0,30,30,20,36,6,0,0,0,30,30,18,36,6,0,0,0,30,30,19,36,6,0,0,0,30,30,20,36,6,0,0,0,30,30,23,36,9,0,0,0,30,30,17,36,14,0,0,0,32,30,6,36,33,10,6,22,36,27,0,20,36,36,36,36,33,5,0,0,9,12,12,12,3,0
12       5,16,18,18,27,17,0,0,12,36,36,36,36,35,23,5,12,36,17,6,6,18,36,26,15,36,6,0,0,0,27,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,24,30,18,36,6,0,0,0,26,30,18,36,16,12,12,20,36,21,19,36,36,36,36,36,29,3,6,12,12,12,12,9,0,0
13       0,0,6,17,18,9,0,0,0,17,36,36,36,36,23,0,1,34,35,16,14,31,36,13,10,36,17,0,0,7,36,23,12,36,12,0,0,0,36,24,11,36,17,0,0,7,36,21,2,33,33,14,12,32,36,9,0,20,36,36,36,36,25,0,4,35,34,19,15,31,36,6,15,36,16,0,0,6,36,21,22,36,4,0,0,0,32,29,18,36,4,0,0,0,33,29,16,36,10,0,0,6,36,22,4,35,33,14,14,33,36,9,0,14,35,36,36,36,19,0,0,0,4,12,12,6,0,0
14       0,0,2,12,12,5,0,0,0,18,35,36,36,36,19,0,6,36,33,16,13,30,36,12,17,36,10,0,0,4,36,27,24,36,0,0,0,0,30,30,24,36,0,0,0,0,30,30,24,36,0,0,0,0,33,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,30,24,36,0,0,0,0,36,25,24,36,0,0,0,0,36,24,21,36,4,0,0,8,36,22,9,36,31,14,15,34,36,9,0,15,36,36,36,35,15,0,0,0,5,12,12,4,0,0
